"filename", "language", "YAML", "Dart", "JSON", "Groovy", "Java Properties", "C++", "Markdown", "XML", "Swift", "comment", "blank", "total"
"c:\Users\Darwi\Documents\GitHub\HairAndMore\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 7, 17
"c:\Users\Darwi\Documents\GitHub\HairAndMore\analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 23, 4, 30
"c:\Users\Darwi\Documents\GitHub\HairAndMore\android\app\build.gradle", "Groovy", 0, 0, 0, 60, 0, 0, 0, 0, 0, 5, 14, 79
"c:\Users\Darwi\Documents\GitHub\HairAndMore\android\app\google-services.json", "JSON", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 62
"c:\Users\Darwi\Documents\GitHub\HairAndMore\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 4, 1, 9
"c:\Users\Darwi\Documents\GitHub\HairAndMore\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 29, 0, 6, 2, 37
"c:\Users\Darwi\Documents\GitHub\HairAndMore\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 7, 2, 13
"c:\Users\Darwi\Documents\GitHub\HairAndMore\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 7, 2, 13
"c:\Users\Darwi\Documents\GitHub\HairAndMore\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 9, 1, 19
"c:\Users\Darwi\Documents\GitHub\HairAndMore\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 9, 1, 19
"c:\Users\Darwi\Documents\GitHub\HairAndMore\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 4, 1, 9
"c:\Users\Darwi\Documents\GitHub\HairAndMore\android\build.gradle", "Groovy", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 6, 35
"c:\Users\Darwi\Documents\GitHub\HairAndMore\android\gradle.properties", "Java Properties", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Darwi\Documents\GitHub\HairAndMore\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 1, 7
"c:\Users\Darwi\Documents\GitHub\HairAndMore\android\settings.gradle", "Groovy", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\Darwi\Documents\GitHub\HairAndMore\firebase.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Darwi\Documents\GitHub\HairAndMore\firestore.indexes.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Darwi\Documents\GitHub\HairAndMore\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 2, 14
"c:\Users\Darwi\Documents\GitHub\HairAndMore\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\Darwi\Documents\GitHub\HairAndMore\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
